Order,Flux,Annual (cm),Oct (cm),Nov (cm),Dec (cm),Jan (cm),Feb (cm),Mar (cm),Apr (cm),May (cm),Jun (cm),Jul (cm),Aug (cm),Sep (cm)
1,Basin-wide avg Precip,154.99354824417583,12.058957753123853,24.607585004209003,28.562080192697273,21.201260191858303,20.536967325133734,17.628868581112258,12.747294059173559,8.0449395014677343,2.9081063115749997,1.13629200238092,1.7368171569038888,3.7238348929004337
2,Basin-wide Max SWE,6.021252333333333,2.3211701999999996,3.5359283333333336,4.471749,3.9090533333333335,4.0162305666666658,2.8495870000000005,2.183453566666667,1.7389940666666663,0.76478203666666666,0.35098913666666665,0.6356449833333333,1.0614347033333333
3,Basin-wide Min SWE,0.0,0.00010407980347121669,0.028372049446386809,0.22871202966666671,0.46177638000000015,0.49209639266666666,0.34602070399999996,0.27100382033333342,0.086177205783333335,0.0081144639299999977,0.00014999998216666665,2.9200180990666676e-05,0.00011524174755506665
3.5,All reservoirs delta,-0.031901335072120451,-2.1258766939795479,-1.539288905171367,-0.14874491055758887,0.01916392668568357,2.166180057125942,1.7592790022389666,1.3735864936114102,0.64510315827771803,-0.026997052127018296,-0.13208698945220665,-0.43174516051162531,-1.5904742612124867
3.7,All reservoirs max - min,-0.031901335072120451,2.0446774159349839,1.5238887491702906,0.55355257433799832,0.55077123535091621,2.1466802723250815,1.6998407838213134,1.3234605194886975,0.61639061301184017,0.074756110001076959,0.13016107708837477,0.42561109432540345,1.5467413906395049
4,Basin-wide Max soil water,55.879719354649993,30.251909200000004,40.261542433333339,45.193610433333333,45.398995900000003,45.2764472,42.758150299999997,38.433780699999993,34.877128463333328,29.028816866666666,23.894898356666666,20.995937300000001,21.32615822333333
5,Basin-wide Min soil water, ,20.459898870000004,29.782934696666665,38.47638090666667,40.844542036666667,39.707440063333344,36.726407366666677,33.424384930000002,28.186186633333332,23.563628913333339,19.788096586666665,18.124312719999999,17.894628863333335
6,Basin-wide Delta soil water, ,9.7920103300000001,10.478607736666675,6.7172295266666637,4.554453863333336,5.5690071366666558,6.0317429333333195,5.0093957699999905,6.6909418299999963,5.4651879533333272,4.1068017700000006,2.8716245800000024,3.4315293599999954
7,Basin-wide AET,27.831799806318685,1.6700088566666664,1.3648785699999999,1.2855712833333333,1.35748672,1.5273969833333334,2.1727943966666663,2.5070501766666666,3.3408525166666663,3.6254439533333334,3.8772994199999991,3.0331478933333331,2.0542292366666666
9,Irrigation,1.1993463312445303,0.02395758980582971,4.4356642488697525e-06,2.4461345731969857e-07,2.121561959095802e-08,0.00065876475943143164,0.069977854342085047,0.16462848233896663,0.31956269537567272,0.3156681751711517,0.20125145576964482,0.057389104695371382,0.044107500061356303
10,Municipal & domestic,2.3552249851011053,0.20540451026281986,0.18205952894507793,0.17827273359026471,0.1798185916258995,0.17123655153474376,0.20639540183776722,0.21919468983931495,0.24405901335148034,0.24618072386411904,0.25461805380824531,0.24453346311091032,0.21981966039781542
11,Minimum flows at Salem,14.815386337136704,1.7282697093649084,0.0,0.0,0.0,0.0,0.0,3.41292118320775,2.962748073196986,2.0163146609257265,1.481374036598493,1.493718820236814,1.670660719052745
11.5,Willamette minus min flows at Salem,112.31797809048142,3.621852586172607,12.073283616712578,20.45730984190747,19.876244379099326,16.203605740099,16.352144258715192,9.0171420614104694,6.4861832744219985,4.0641629531862709,1.9377718910062354,0.78511048487092205,1.2674579997950495
100,Willamette at Portland,127.13336442761812,5.3501222955375152,12.073283616712578,20.45730984190747,19.876244379099326,16.203605740099,16.352144258715192,12.43006324461822,9.4489313476189842,6.0804776141119978,3.4191459276047285,2.278829305107736,2.9381187188477944
